3b-swf-20110110-git	3b-swf-swc, 3b-swf
html-encode-1.2	html-encode
html-template-0.9.1	html-template
hu.dwim.asdf-20110110-darcs	hu.dwim.asdf.documentation, hu.dwim.asdf
hu.dwim.common-20101107-darcs	hu.dwim.common.documentation, hu.dwim.common
hu.dwim.common-lisp-20101107-darcs	hu.dwim.common-lisp.documentation, hu.dwim.common-lisp
hu.dwim.computed-class-20101107-darcs	hu.dwim.computed-class.test, hu.dwim.computed-class.documentation, hu.dwim.computed-class+swank, hu.dwim.computed-class+hu.dwim.defclass-star, hu.dwim.computed-class
hu.dwim.def-20110110-darcs	hu.dwim.def.test, hu.dwim.def.namespace, hu.dwim.def.documentation, hu.dwim.def+swank, hu.dwim.def+hu.dwim.delico, hu.dwim.def+hu.dwim.common, hu.dwim.def+contextl, hu.dwim.def+cl-l10n, hu.dwim.def
hu.dwim.defclass-star-20101107-darcs	hu.dwim.defclass-star.test, hu.dwim.defclass-star.documentation, hu.dwim.defclass-star+swank, hu.dwim.defclass-star+hu.dwim.def+contextl, hu.dwim.defclass-star+hu.dwim.def, hu.dwim.defclass-star+contextl, hu.dwim.defclass-star
hu.dwim.delico-20101107-darcs	hu.dwim.delico.test, hu.dwim.delico.documentation, hu.dwim.delico
hu.dwim.logger-20101107-darcs	hu.dwim.logger.test, hu.dwim.logger.documentation, hu.dwim.logger+swank, hu.dwim.logger
hu.dwim.partial-eval-20101107-darcs	hu.dwim.partial-eval.test, hu.dwim.partial-eval.documentation, hu.dwim.partial-eval
hu.dwim.perec-20101107-darcs	hu.dwim.perec.test, hu.dwim.perec.sqlite.test, hu.dwim.perec.sqlite, hu.dwim.perec.postgresql.test, hu.dwim.perec.postgresql, hu.dwim.perec.oracle.test, hu.dwim.perec.oracle, hu.dwim.perec.all.test, hu.dwim.perec.all, hu.dwim.perec+swank, hu.dwim.perec+iolib, hu.dwim.perec+hu.dwim.quasi-quote.xml, hu.dwim.perec
hu.dwim.quasi-quote-20101107-darcs	hu.dwim.quasi-quote.xml+hu.dwim.quasi-quote.js, hu.dwim.quasi-quote.xml+cxml, hu.dwim.quasi-quote.xml, hu.dwim.quasi-quote.test, hu.dwim.quasi-quote.js, hu.dwim.quasi-quote.documentation, hu.dwim.quasi-quote.css, hu.dwim.quasi-quote
